municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Esperança do Sul (RS),0.661,0.665,0.55,0.788,Esperança do Sul - RS
Senador Amaral (MG),0.661,0.623,0.564,0.821,Senador Amaral - MG
Jeceaba (MG),0.661,0.629,0.544,0.844,Jeceaba - MG
Pantano Grande (RS),0.661,0.676,0.524,0.816,Pantano Grande - RS
Aracitaba (MG),0.661,0.608,0.577,0.823,Aracitaba - MG
Campo Limpo de Goiás (GO),0.661,0.654,0.533,0.829,Campo Limpo de Goiás - GO
Indiavaí (MT),0.661,0.645,0.533,0.841,Indiavaí - MT
Itapirapuã Paulista (SP),0.661,0.595,0.594,0.816,Itapirapuã Paulista - SP
Alto Caparaó (MG),0.661,0.666,0.514,0.842,Alto Caparaó - MG
São Raimundo Nonato (PI),0.661,0.631,0.587,0.779,São Raimundo Nonato - PI
Capela de Santana (RS),0.661,0.675,0.525,0.816,Capela de Santana - RS
Cerro Branco (RS),0.661,0.671,0.527,0.816,Cerro Branco - RS
Pau D'Arco (TO),0.661,0.621,0.587,0.792,Pau D'Arco - TO
Lajinha (MG),0.661,0.659,0.541,0.81,Lajinha - MG
Riozinho (RS),0.661,0.69,0.472,0.885,Riozinho - RS
Serra Talhada (PE),0.661,0.632,0.571,0.8,Serra Talhada - PE
Fontoura Xavier (RS),0.661,0.668,0.532,0.812,Fontoura Xavier - RS
Nova Rosalândia (TO),0.661,0.582,0.628,0.791,Nova Rosalândia - TO
Teresina de Goiás (GO),0.661,0.626,0.564,0.817,Teresina de Goiás - GO
Pinheiro Machado (RS),0.661,0.685,0.499,0.846,Pinheiro Machado - RS
São José do Povo (MT),0.661,0.63,0.577,0.793,São José do Povo - MT
Brunópolis (SC),0.661,0.646,0.545,0.819,Brunópolis - SC
Satuba (AL),0.66,0.619,0.585,0.794,Satuba - AL
São Francisco de Paula (MG),0.66,0.66,0.537,0.812,São Francisco de Paula - MG
Palmas (PR),0.66,0.687,0.505,0.827,Palmas - PR
São Pedro da Cipa (MT),0.66,0.654,0.556,0.79,São Pedro da Cipa - MT
Extremoz (RN),0.66,0.64,0.555,0.808,Extremoz - RN
Bom Jesus do Tocantins (TO),0.66,0.621,0.555,0.833,Bom Jesus do Tocantins - TO
Cristal do Sul (RS),0.66,0.641,0.542,0.826,Cristal do Sul - RS
Imbituva (PR),0.66,0.681,0.509,0.828,Imbituva - PR
Bom Jardim (RJ),0.66,0.707,0.503,0.809,Bom Jardim - RJ
Agudos do Sul (PR),0.66,0.671,0.543,0.79,Agudos do Sul - PR
Figueirão (MS),0.66,0.677,0.511,0.83,Figueirão - MS
São José do Vale do Rio Preto (RJ),0.66,0.67,0.533,0.806,São José do Vale do Rio Preto - RJ
Alto Jequitibá (MG),0.66,0.66,0.554,0.787,Alto Jequitibá - MG
Lavandeira (TO),0.66,0.598,0.62,0.775,Lavandeira - TO
Cerro Grande do Sul (RS),0.66,0.673,0.499,0.855,Cerro Grande do Sul - RS
Bom Sucesso de Itararé (SP),0.66,0.605,0.613,0.775,Bom Sucesso de Itararé - SP
Cocalinho (MT),0.66,0.674,0.528,0.807,Cocalinho - MT
Barra do Chapéu (SP),0.66,0.617,0.599,0.779,Barra do Chapéu - SP
Belmiro Braga (MG),0.66,0.653,0.531,0.83,Belmiro Braga - MG
Seritinga (MG),0.66,0.657,0.512,0.853,Seritinga - MG
Avelinópolis (GO),0.66,0.682,0.508,0.828,Avelinópolis - GO
Cordislândia (MG),0.66,0.654,0.544,0.807,Cordislândia - MG
São Sebastião da Vargem Alegre (MG),0.66,0.631,0.552,0.827,São Sebastião da Vargem Alegre - MG
Alvorada do Norte (GO),0.66,0.64,0.548,0.819,Alvorada do Norte - GO
Ipuaçu (SC),0.66,0.674,0.54,0.79,Ipuaçu - SC
Muritiba (BA),0.66,0.629,0.573,0.796,Muritiba - BA
Leopoldo de Bulhões (GO),0.659,0.665,0.529,0.812,Leopoldo de Bulhões - GO
Pacajus (CE),0.659,0.609,0.596,0.788,Pacajus - CE
Sandolândia (TO),0.659,0.626,0.578,0.791,Sandolândia - TO
Estreito (MA),0.659,0.666,0.536,0.8,Estreito - MA
Santa Isabel do Pará (PA),0.659,0.622,0.576,0.798,Santa Isabel do Pará - PA
Monte Azul (MG),0.659,0.611,0.578,0.811,Monte Azul - MG
Jaguarari (BA),0.659,0.644,0.551,0.806,Jaguarari - BA
Fortaleza do Tabocão (TO),0.659,0.616,0.575,0.808,Fortaleza do Tabocão - TO
Gameleira de Goiás (GO),0.659,0.692,0.499,0.828,Gameleira de Goiás - GO
Couto de Magalhães de Minas (MG),0.659,0.6,0.592,0.807,Couto de Magalhães de Minas - MG
Tucumã (PA),0.659,0.67,0.525,0.813,Tucumã - PA
Passos Maia (SC),0.659,0.648,0.547,0.808,Passos Maia - SC
Carnaúba dos Dantas (RN),0.659,0.624,0.577,0.796,Carnaúba dos Dantas - RN
Posse (GO),0.659,0.659,0.53,0.819,Posse - GO
Maranguape (CE),0.659,0.587,0.618,0.788,Maranguape - CE
Timbó Grande (SC),0.659,0.634,0.565,0.798,Timbó Grande - SC
Segredo (RS),0.659,0.673,0.525,0.811,Segredo - RS
Varre-Sai (RJ),0.659,0.636,0.555,0.81,Varre-Sai - RJ
São Pedro dos Ferros (MG),0.659,0.631,0.576,0.789,São Pedro dos Ferros - MG
Duas Barras (RJ),0.659,0.677,0.534,0.79,Duas Barras - RJ
Quixadá (CE),0.659,0.592,0.624,0.775,Quixadá - CE
Japeri (RJ),0.659,0.637,0.555,0.809,Japeri - RJ
Piratini (RS),0.658,0.672,0.517,0.821,Piratini - RS
Grandes Rios (PR),0.658,0.649,0.55,0.799,Grandes Rios - PR
Parintins (AM),0.658,0.589,0.605,0.8,Parintins - AM
Colinas do Sul (GO),0.658,0.633,0.549,0.82,Colinas do Sul - GO
Jaboticaba (RS),0.658,0.636,0.547,0.82,Jaboticaba - RS
Castanheiras (RO),0.658,0.65,0.547,0.803,Castanheiras - RO
São José do Divino (MG),0.658,0.627,0.583,0.778,São José do Divino - MG
Oiapoque (AP),0.658,0.693,0.527,0.779,Oiapoque - AP
Terenos (MS),0.658,0.651,0.521,0.839,Terenos - MS
Jesuânia (MG),0.658,0.675,0.507,0.831,Jesuânia - MG
Nova Cantu (PR),0.658,0.646,0.558,0.792,Nova Cantu - PR
Minduri (MG),0.658,0.631,0.56,0.805,Minduri - MG
Novo Planalto (GO),0.658,0.623,0.55,0.831,Novo Planalto - GO
Bueno Brandão (MG),0.658,0.662,0.507,0.848,Bueno Brandão - MG
Caseara (TO),0.658,0.647,0.534,0.825,Caseara - TO
Horizonte (CE),0.658,0.594,0.61,0.788,Horizonte - CE
Inhapim (MG),0.658,0.642,0.535,0.829,Inhapim - MG
Januária (MG),0.658,0.611,0.568,0.82,Januária - MG
São José do Mantimento (MG),0.657,0.612,0.562,0.823,São José do Mantimento - MG
Divinésia (MG),0.657,0.645,0.559,0.785,Divinésia - MG
Aguiarnópolis (TO),0.657,0.618,0.571,0.804,Aguiarnópolis - TO
Marliéria (MG),0.657,0.629,0.537,0.838,Marliéria - MG
Presidente Kennedy (ES),0.657,0.636,0.553,0.808,Presidente Kennedy - ES
Entre Rios (SC),0.657,0.638,0.55,0.808,Entre Rios - SC
São José do Xingu (MT),0.657,0.703,0.487,0.828,São José do Xingu - MT
Ibertioga (MG),0.657,0.606,0.56,0.834,Ibertioga - MG
São Sebastião do Passé (BA),0.657,0.633,0.551,0.812,São Sebastião do Passé - BA
Mantenópolis (ES),0.657,0.636,0.551,0.81,Mantenópolis - ES
Arroio Grande (RS),0.657,0.673,0.522,0.807,Arroio Grande - RS
Cocalzinho de Goiás (GO),0.657,0.648,0.531,0.826,Cocalzinho de Goiás - GO
Tianguá (CE),0.657,0.628,0.587,0.768,Tianguá - CE
Itacurubi (RS),0.657,0.692,0.509,0.804,Itacurubi - RS
Tunas (RS),0.657,0.659,0.541,0.794,Tunas - RS
Santo Hipólito (MG),0.657,0.641,0.536,0.824,Santo Hipólito - MG
Encruzilhada do Sul (RS),0.657,0.677,0.478,0.875,Encruzilhada do Sul - RS
Matos Costa (SC),0.657,0.63,0.541,0.831,Matos Costa - SC
Redenção da Serra (SP),0.657,0.633,0.56,0.799,Redenção da Serra - SP
Afogados da Ingazeira (PE),0.657,0.623,0.565,0.807,Afogados da Ingazeira - PE
Guajará-Mirim (RO),0.657,0.663,0.519,0.823,Guajará-Mirim - RO
Heliodora (MG),0.657,0.656,0.527,0.822,Heliodora - MG
Campo Maior (PI),0.656,0.629,0.566,0.793,Campo Maior - PI
Cordisburgo (MG),0.656,0.644,0.558,0.786,Cordisburgo - MG
Tavares (RS),0.656,0.692,0.492,0.828,Tavares - RS
Mesquita (MG),0.656,0.638,0.555,0.796,Mesquita - MG
Brumado (BA),0.656,0.63,0.554,0.807,Brumado - BA
Vale de São Domingos (MT),0.656,0.658,0.56,0.765,Vale de São Domingos - MT
Pescador (MG),0.656,0.615,0.552,0.831,Pescador - MG
Serro (MG),0.656,0.65,0.52,0.834,Serro - MG
Brasília de Minas (MG),0.656,0.612,0.568,0.813,Brasília de Minas - MG
Laranja da Terra (ES),0.656,0.633,0.55,0.81,Laranja da Terra - ES
Santo Antônio do Leverger (MT),0.656,0.651,0.539,0.806,Santo Antônio do Leverger - MT
Mata (RS),0.656,0.66,0.529,0.807,Mata - RS
Brejetuba (ES),0.656,0.63,0.54,0.828,Brejetuba - ES
Itaúna do Sul (PR),0.656,0.651,0.543,0.798,Itaúna do Sul - PR
Antônio Olinto (PR),0.656,0.626,0.547,0.825,Antônio Olinto - PR
Ferreira Gomes (AP),0.656,0.635,0.542,0.82,Ferreira Gomes - AP
Itaiçaba (CE),0.656,0.581,0.642,0.758,Itaiçaba - CE
Curiúva (PR),0.656,0.649,0.546,0.795,Curiúva - PR
Rio dos Índios (RS),0.656,0.645,0.545,0.804,Rio dos Índios - RS
Planalto da Serra (MT),0.656,0.615,0.565,0.813,Planalto da Serra - MT
Augusto de Lima (MG),0.656,0.622,0.557,0.815,Augusto de Lima - MG
Arinos (MG),0.656,0.607,0.57,0.815,Arinos - MG
Mandirituba (PR),0.655,0.677,0.515,0.807,Mandirituba - PR
Pedra Dourada (MG),0.655,0.631,0.539,0.827,Pedra Dourada - MG
Lamim (MG),0.655,0.623,0.546,0.828,Lamim - MG
Manoel Viana (RS),0.655,0.686,0.534,0.766,Manoel Viana - RS
São João da Baliza (RR),0.655,0.614,0.587,0.78,São João da Baliza - RR
Aracati (CE),0.655,0.607,0.624,0.742,Aracati - CE
Natividade da Serra (SP),0.655,0.664,0.52,0.814,Natividade da Serra - SP
Chalé (MG),0.655,0.636,0.561,0.787,Chalé - MG
Sapopema (PR),0.655,0.695,0.509,0.795,Sapopema - PR
Carmo da Cachoeira (MG),0.655,0.672,0.523,0.801,Carmo da Cachoeira - MG
Capanema (PA),0.655,0.61,0.58,0.794,Capanema - PA
Funilândia (MG),0.655,0.612,0.545,0.844,Funilândia - MG
Tesouro (MT),0.655,0.635,0.56,0.791,Tesouro - MT
Nova Iguaçu de Goiás (GO),0.655,0.642,0.54,0.812,Nova Iguaçu de Goiás - GO
Santo Antônio do Leste (MT),0.655,0.658,0.501,0.853,Santo Antônio do Leste - MT
Belo Vale (MG),0.655,0.672,0.514,0.814,Belo Vale - MG
Baliza (GO),0.655,0.614,0.558,0.819,Baliza - GO
Vitória das Missões (RS),0.655,0.659,0.526,0.809,Vitória das Missões - RS
Boa Ventura de São Roque (PR),0.655,0.635,0.553,0.802,Boa Ventura de São Roque - PR
São João do Sabugi (RN),0.655,0.62,0.581,0.779,São João do Sabugi - RN
Engenheiro Navarro (MG),0.655,0.599,0.594,0.791,Engenheiro Navarro - MG
Raul Soares (MG),0.655,0.658,0.52,0.823,Raul Soares - MG
Itapiranga (AM),0.654,0.594,0.594,0.792,Itapiranga - AM
Nova Viçosa (BA),0.654,0.657,0.546,0.78,Nova Viçosa - BA
Abre Campo (MG),0.654,0.646,0.525,0.823,Abre Campo - MG
Itaporã (MS),0.654,0.66,0.523,0.809,Itaporã - MS
Itapemirim (ES),0.654,0.64,0.54,0.808,Itapemirim - ES
Galiléia (MG),0.654,0.645,0.546,0.795,Galiléia - MG
Santa Cruz Cabrália (BA),0.654,0.624,0.571,0.784,Santa Cruz Cabrália - BA
Talismã (TO),0.654,0.654,0.535,0.801,Talismã - TO
Francisco Sá (MG),0.654,0.605,0.572,0.808,Francisco Sá - MG
Damianópolis (GO),0.654,0.614,0.558,0.815,Damianópolis - GO
Iapu (MG),0.654,0.639,0.535,0.819,Iapu - MG
Cruzeta (RN),0.654,0.602,0.621,0.748,Cruzeta - RN
Pinhão (PR),0.654,0.649,0.534,0.806,Pinhão - PR
Campos Verdes (GO),0.654,0.608,0.577,0.796,Campos Verdes - GO
Saltinho (SC),0.654,0.639,0.551,0.795,Saltinho - SC
Portelândia (GO),0.654,0.68,0.513,0.803,Portelândia - GO
Dezesseis de Novembro (RS),0.654,0.625,0.553,0.809,Dezesseis de Novembro - RS
Rafael Godeiro (RN),0.654,0.583,0.607,0.789,Rafael Godeiro - RN
Tanguá (RJ),0.654,0.644,0.548,0.793,Tanguá - RJ
Capão Alto (SC),0.654,0.68,0.516,0.796,Capão Alto - SC
Pedro Canário (ES),0.654,0.643,0.536,0.812,Pedro Canário - ES
Dores do Rio Preto (ES),0.654,0.635,0.542,0.813,Dores do Rio Preto - ES
Sem-Peixe (MG),0.654,0.623,0.543,0.826,Sem-Peixe - MG
Silva Jardim (RJ),0.654,0.657,0.536,0.793,Silva Jardim - RJ
São João do Jaguaribe (CE),0.654,0.62,0.576,0.784,São João do Jaguaribe - CE
Bom Repouso (MG),0.653,0.647,0.523,0.821,Bom Repouso - MG
Capelinha (MG),0.653,0.641,0.527,0.824,Capelinha - MG
Ritápolis (MG),0.653,0.649,0.526,0.815,Ritápolis - MG
São João da Mata (MG),0.653,0.676,0.501,0.822,São João da Mata - MG
Santa Amélia (PR),0.653,0.655,0.526,0.809,Santa Amélia - PR
Trombas (GO),0.653,0.628,0.547,0.812,Trombas - GO
Epitaciolândia (AC),0.653,0.654,0.553,0.771,Epitaciolândia - AC
Campestre de Goiás (GO),0.653,0.628,0.556,0.799,Campestre de Goiás - GO
São Lourenço da Mata (PE),0.653,0.614,0.571,0.793,São Lourenço da Mata - PE
Rio Rufino (SC),0.653,0.652,0.53,0.806,Rio Rufino - SC
Ilha de Itamaracá (PE),0.653,0.627,0.548,0.809,Ilha de Itamaracá - PE
Divinópolis de Goiás (GO),0.653,0.624,0.55,0.813,Divinópolis de Goiás - GO
Novo Santo Antônio (MT),0.653,0.64,0.526,0.829,Novo Santo Antônio - MT
Itabirinha (MG),0.653,0.625,0.531,0.838,Itabirinha - MG
Presidente Dutra (MA),0.653,0.628,0.563,0.788,Presidente Dutra - MA
Mauá da Serra (PR),0.652,0.661,0.529,0.793,Mauá da Serra - PR
Porto Esperidião (MT),0.652,0.666,0.523,0.795,Porto Esperidião - MT
Iracema (CE),0.652,0.597,0.632,0.733,Iracema - CE
Caraá (RS),0.652,0.661,0.505,0.83,Caraá - RS
São José de Ubá (RJ),0.652,0.633,0.548,0.798,São José de Ubá - RJ
Sério (RS),0.652,0.695,0.471,0.847,Sério - RS
Campestre do Maranhão (MA),0.652,0.611,0.586,0.774,Campestre do Maranhão - MA
Guarinos (GO),0.652,0.604,0.563,0.815,Guarinos - GO
General Carneiro (PR),0.652,0.638,0.532,0.816,General Carneiro - PR
Chupinguaia (RO),0.652,0.659,0.514,0.82,Chupinguaia - RO
Moreno (PE),0.652,0.61,0.564,0.805,Moreno - PE
Ibarama (RS),0.652,0.686,0.511,0.792,Ibarama - RS
Jijoca de Jericoacoara (CE),0.652,0.614,0.625,0.723,Jijoca de Jericoacoara - CE
Poconé (MT),0.652,0.643,0.534,0.806,Poconé - MT
Casa Grande (MG),0.652,0.608,0.555,0.823,Casa Grande - MG
Água Doce do Norte (ES),0.652,0.619,0.546,0.819,Água Doce do Norte - ES
Ipiranga (PR),0.652,0.684,0.489,0.828,Ipiranga - PR
Silveirânia (MG),0.652,0.645,0.511,0.841,Silveirânia - MG
Guarará (MG),0.652,0.65,0.532,0.802,Guarará - MG
São Martinho da Serra (RS),0.652,0.659,0.496,0.848,São Martinho da Serra - RS
Santana do Deserto (MG),0.651,0.66,0.493,0.849,Santana do Deserto - MG
Arraias (TO),0.651,0.636,0.523,0.829,Arraias - TO
Taquaraçu de Minas (MG),0.651,0.643,0.525,0.818,Taquaraçu de Minas - MG
Porteirinha (MG),0.651,0.593,0.585,0.796,Porteirinha - MG
Jati (CE),0.651,0.562,0.634,0.776,Jati - CE
Nova Brasilândia (MT),0.651,0.673,0.485,0.845,Nova Brasilândia - MT
São Francisco de Goiás (GO),0.651,0.658,0.509,0.825,São Francisco de Goiás - GO
Padre Bernardo (GO),0.651,0.67,0.515,0.801,Padre Bernardo - GO
Virgínia (MG),0.651,0.635,0.523,0.829,Virgínia - MG
Rochedo (MS),0.651,0.676,0.491,0.83,Rochedo - MS
Goiana (PE),0.651,0.614,0.576,0.779,Goiana - PE
São Geraldo (MG),0.651,0.656,0.507,0.831,São Geraldo - MG
Periquito (MG),0.651,0.593,0.555,0.839,Periquito - MG
Alto Boa Vista (MT),0.651,0.613,0.561,0.803,Alto Boa Vista - MT
Santa Rita do Tocantins (TO),0.651,0.63,0.527,0.83,Santa Rita do Tocantins - TO
Igaratinga (MG),0.651,0.682,0.481,0.842,Igaratinga - MG
Taquarussu (MS),0.651,0.657,0.545,0.769,Taquarussu - MS
Bacabal (MA),0.651,0.619,0.591,0.753,Bacabal - MA
Crucilândia (MG),0.651,0.653,0.518,0.816,Crucilândia - MG
Ivaí (PR),0.651,0.654,0.534,0.791,Ivaí - PR
Aparecida do Rio Negro (TO),0.651,0.593,0.588,0.791,Aparecida do Rio Negro - TO
Serra dos Aimorés (MG),0.651,0.653,0.539,0.784,Serra dos Aimorés - MG
Nova Campina (SP),0.651,0.598,0.577,0.799,Nova Campina - SP
São José das Missões (RS),0.651,0.652,0.542,0.782,São José das Missões - RS
Nova Tebas (PR),0.651,0.632,0.553,0.788,Nova Tebas - PR
Cana Verde (MG),0.65,0.652,0.512,0.821,Cana Verde - MG
Barros Cassal (RS),0.65,0.69,0.5,0.795,Barros Cassal - RS
Nova Bandeirantes (MT),0.65,0.696,0.469,0.842,Nova Bandeirantes - MT
Carmésia (MG),0.65,0.631,0.54,0.805,Carmésia - MG
Faina (GO),0.65,0.644,0.534,0.799,Faina - GO
Pinhal da Serra (RS),0.65,0.641,0.513,0.835,Pinhal da Serra - RS
Monjolos (MG),0.65,0.612,0.548,0.819,Monjolos - MG
Guadalupe (PI),0.65,0.639,0.542,0.794,Guadalupe - PI
Marmelópolis (MG),0.65,0.615,0.553,0.806,Marmelópolis - MG
Itaporã do Tocantins (TO),0.65,0.613,0.531,0.842,Itaporã do Tocantins - TO
Gameleiras (MG),0.65,0.559,0.618,0.796,Gameleiras - MG
Cabixi (RO),0.65,0.65,0.559,0.757,Cabixi - RO
Pacaraima (RR),0.65,0.624,0.558,0.788,Pacaraima - RR
São João do Manhuaçu (MG),0.65,0.659,0.498,0.836,São João do Manhuaçu - MG
Itanhomi (MG),0.65,0.656,0.503,0.831,Itanhomi - MG
Rosário Oeste (MT),0.65,0.653,0.52,0.807,Rosário Oeste - MT
Monte Alegre dos Campos (RS),0.65,0.667,0.501,0.822,Monte Alegre dos Campos - RS
Pium (TO),0.65,0.633,0.527,0.822,Pium - TO
Rio Casca (MG),0.65,0.651,0.519,0.813,Rio Casca - MG
Canguçu (RS),0.65,0.683,0.491,0.819,Canguçu - RS
Ventania (PR),0.65,0.633,0.543,0.798,Ventania - PR
Peixoto de Azevedo (MT),0.649,0.691,0.521,0.761,Peixoto de Azevedo - MT
São Felipe D'Oeste (RO),0.649,0.615,0.571,0.78,São Felipe D'Oeste - RO
Timon (MA),0.649,0.614,0.579,0.768,Timon - MA
Boa Vista (PB),0.649,0.59,0.582,0.796,Boa Vista - PB
Bayeux (PB),0.649,0.619,0.566,0.779,Bayeux - PB
Jacobina (BA),0.649,0.636,0.558,0.772,Jacobina - BA
São Luiz (RR),0.649,0.605,0.574,0.788,São Luiz - RR
Arapiraca (AL),0.649,0.638,0.549,0.78,Arapiraca - AL
Barra dos Coqueiros (SE),0.649,0.647,0.545,0.776,Barra dos Coqueiros - SE
Unistalda (RS),0.649,0.626,0.542,0.804,Unistalda - RS
Cerrito (RS),0.649,0.657,0.504,0.824,Cerrito - RS
Novo São Joaquim (MT),0.649,0.658,0.507,0.819,Novo São Joaquim - MT
Lebon Régis (SC),0.649,0.632,0.537,0.806,Lebon Régis - SC
Barão de Monte Alto (MG),0.649,0.619,0.533,0.827,Barão de Monte Alto - MG
Canaã (MG),0.649,0.644,0.532,0.798,Canaã - MG
Candeias do Jamari (RO),0.649,0.652,0.512,0.819,Candeias do Jamari - RO
Mampituba (RS),0.649,0.65,0.517,0.813,Mampituba - RS
Alagoa (MG),0.649,0.634,0.518,0.832,Alagoa - MG
Novo Horizonte do Sul (MS),0.649,0.656,0.523,0.798,Novo Horizonte do Sul - MS
Jesúpolis (GO),0.649,0.642,0.522,0.814,Jesúpolis - GO
Ubajara (CE),0.648,0.595,0.594,0.769,Ubajara - CE
Carlos Chagas (MG),0.648,0.641,0.513,0.826,Carlos Chagas - MG
Santa Maria de Itabira (MG),0.648,0.622,0.533,0.821,Santa Maria de Itabira - MG
Frei Inocêncio (MG),0.648,0.624,0.559,0.779,Frei Inocêncio - MG
Rio Manso (MG),0.648,0.676,0.501,0.802,Rio Manso - MG
Cabeceira Grande (MG),0.648,0.638,0.542,0.788,Cabeceira Grande - MG
São João do Oriente (MG),0.648,0.631,0.536,0.805,São João do Oriente - MG
Angico (TO),0.648,0.576,0.612,0.773,Angico - TO
Reserva do Iguaçu (PR),0.648,0.636,0.521,0.82,Reserva do Iguaçu - PR
Morro da Garça (MG),0.648,0.619,0.538,0.816,Morro da Garça - MG
Capela Nova (MG),0.648,0.602,0.568,0.797,Capela Nova - MG
Santa Cruz do Capibaribe (PE),0.648,0.667,0.506,0.806,Santa Cruz do Capibaribe - PE
Cardoso Moreira (RJ),0.648,0.653,0.534,0.782,Cardoso Moreira - RJ
Dilermando de Aguiar (RS),0.648,0.681,0.463,0.864,Dilermando de Aguiar - RS
Passa-Vinte (MG),0.648,0.662,0.507,0.809,Passa-Vinte - MG
Felixlândia (MG),0.648,0.651,0.514,0.815,Felixlândia - MG
Bocaina do Sul (SC),0.647,0.642,0.549,0.768,Bocaina do Sul - SC
Caracol (MS),0.647,0.628,0.522,0.826,Caracol - MS
Ibatiba (ES),0.647,0.651,0.501,0.83,Ibatiba - ES
Valença do Piauí (PI),0.647,0.62,0.566,0.773,Valença do Piauí - PI
Munhoz (MG),0.647,0.634,0.52,0.821,Munhoz - MG
Salinópolis (PA),0.647,0.628,0.541,0.798,Salinópolis - PA
Cachoeira (BA),0.647,0.615,0.577,0.762,Cachoeira - BA
Presidente Figueiredo (AM),0.647,0.627,0.538,0.802,Presidente Figueiredo - AM
Santana do Jacaré (MG),0.647,0.655,0.523,0.79,Santana do Jacaré - MG
Goiabeira (MG),0.647,0.628,0.539,0.799,Goiabeira - MG
Brejo Santo (CE),0.647,0.596,0.592,0.768,Brejo Santo - CE
Vila Boa (GO),0.647,0.619,0.534,0.818,Vila Boa - GO
Santana dos Montes (MG),0.647,0.608,0.557,0.801,Santana dos Montes - MG
Estância (SE),0.647,0.627,0.552,0.782,Estância - SE
Itamarandiba (MG),0.646,0.618,0.547,0.798,Itamarandiba - MG
Cacaulândia (RO),0.646,0.664,0.506,0.801,Cacaulândia - RO
Fernandes Tourinho (MG),0.646,0.608,0.55,0.807,Fernandes Tourinho - MG
São Sebastião do Alto (RJ),0.646,0.638,0.536,0.789,São Sebastião do Alto - RJ
Santo Amaro (BA),0.646,0.626,0.559,0.772,Santo Amaro - BA
Carvalhos (MG),0.646,0.667,0.492,0.82,Carvalhos - MG
Xinguara (PA),0.646,0.671,0.503,0.8,Xinguara - PA
Lucrécia (RN),0.646,0.624,0.551,0.785,Lucrécia - RN
Penaforte (CE),0.646,0.566,0.626,0.761,Penaforte - CE
Cascavel (CE),0.646,0.587,0.578,0.793,Cascavel - CE
Alpercata (MG),0.646,0.629,0.521,0.824,Alpercata - MG
Vale Verde (RS),0.646,0.666,0.497,0.816,Vale Verde - RS
São Miguel do Guaporé (RO),0.646,0.644,0.537,0.781,São Miguel do Guaporé - RO
Lontra (MG),0.646,0.589,0.577,0.794,Lontra - MG
Piracema (MG),0.646,0.646,0.515,0.809,Piracema - MG
Vila Bela da Santíssima Trindade (MT),0.645,0.644,0.495,0.843,Vila Bela da Santíssima Trindade - MT
Foz do Jordão (PR),0.645,0.654,0.496,0.828,Foz do Jordão - PR
Manfrinópolis (PR),0.645,0.642,0.52,0.805,Manfrinópolis - PR
São Nicolau (RS),0.645,0.658,0.523,0.778,São Nicolau - RS
Simolândia (GO),0.645,0.595,0.546,0.826,Simolândia - GO
Vera Cruz (BA),0.645,0.632,0.52,0.817,Vera Cruz - BA
Fernandes Pinheiro (PR),0.645,0.647,0.525,0.791,Fernandes Pinheiro - PR
Tibau do Sul (RN),0.645,0.672,0.504,0.794,Tibau do Sul - RN
São João do Piauí (PI),0.645,0.615,0.567,0.769,São João do Piauí - PI
General Maynard (SE),0.645,0.609,0.567,0.776,General Maynard - SE
Bocaina de Minas (MG),0.645,0.665,0.476,0.848,Bocaina de Minas - MG
Porto Alegre do Tocantins (TO),0.645,0.586,0.584,0.785,Porto Alegre do Tocantins - TO
Tabuleiro do Norte (CE),0.645,0.62,0.547,0.791,Tabuleiro do Norte - CE
Paragominas (PA),0.645,0.667,0.514,0.781,Paragominas - PA
Muniz Freire (ES),0.645,0.637,0.512,0.821,Muniz Freire - ES
Águas Formosas (MG),0.645,0.624,0.531,0.811,Águas Formosas - MG
Ouro Branco (RN),0.645,0.61,0.558,0.789,Ouro Branco - RN
Taparuba (MG),0.645,0.604,0.557,0.799,Taparuba - MG
Jatobá (PE),0.645,0.604,0.573,0.775,Jatobá - PE
Durandé (MG),0.645,0.626,0.508,0.842,Durandé - MG
Antônio Dias (MG),0.645,0.624,0.507,0.849,Antônio Dias - MG
Mutum (MG),0.644,0.635,0.511,0.822,Mutum - MG
Crateús (CE),0.644,0.618,0.55,0.787,Crateús - CE
Messias Targino (RN),0.644,0.608,0.565,0.779,Messias Targino - RN
Iaciara (GO),0.644,0.615,0.527,0.826,Iaciara - GO
São Miguel do Anta (MG),0.644,0.616,0.523,0.828,São Miguel do Anta - MG
Crixás do Tocantins (TO),0.644,0.603,0.555,0.798,Crixás do Tocantins - TO
Cristal (RS),0.644,0.687,0.471,0.826,Cristal - RS
Itacoatiara (AM),0.644,0.618,0.534,0.811,Itacoatiara - AM
Forquilha (CE),0.644,0.583,0.602,0.76,Forquilha - CE
Engenheiro Caldas (MG),0.644,0.632,0.518,0.815,Engenheiro Caldas - MG
Diamante D'Oeste (PR),0.644,0.647,0.532,0.776,Diamante D'Oeste - PR
Senador Firmino (MG),0.644,0.639,0.505,0.829,Senador Firmino - MG
Rio Largo (AL),0.643,0.616,0.547,0.788,Rio Largo - AL
Calçoene (AP),0.643,0.636,0.55,0.759,Calçoene - AP
Nazaré (TO),0.643,0.584,0.576,0.792,Nazaré - TO
Mirante da Serra (RO),0.643,0.673,0.494,0.8,Mirante da Serra - RO
Argirita (MG),0.643,0.645,0.505,0.817,Argirita - MG
Serranos (MG),0.643,0.638,0.499,0.834,Serranos - MG
Antônio João (MS),0.643,0.633,0.526,0.799,Antônio João - MS
Monte Carlo (SC),0.643,0.648,0.511,0.804,Monte Carlo - SC
