municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Cocal do Sul (SC),0.78,0.747,0.74,0.859,Cocal do Sul - SC
Birigui (SP),0.78,0.743,0.734,0.869,Birigui - SP
Boituva (SP),0.78,0.757,0.728,0.861,Boituva - SP
Vista Alegre do Prata (RS),0.78,0.809,0.692,0.847,Vista Alegre do Prata - RS
Bebedouro (SP),0.78,0.756,0.735,0.853,Bebedouro - SP
Corupá (SC),0.78,0.768,0.707,0.873,Corupá - SC
Franca (SP),0.78,0.749,0.753,0.842,Franca - SP
Orlândia (SP),0.78,0.765,0.703,0.882,Orlândia - SP
Salto (SP),0.78,0.755,0.751,0.837,Salto - SP
Braço do Trombudo (SC),0.78,0.766,0.702,0.883,Braço do Trombudo - SC
Nova Petrópolis (RS),0.78,0.775,0.688,0.89,Nova Petrópolis - RS
Pomerode (SC),0.78,0.78,0.687,0.886,Pomerode - SC
Cotia (SP),0.78,0.789,0.707,0.851,Cotia - SP
Poços de Caldas (MG),0.779,0.768,0.706,0.872,Poços de Caldas - MG
Piratininga (SP),0.779,0.762,0.723,0.859,Piratininga - SP
Seara (SC),0.779,0.804,0.674,0.872,Seara - SC
Andradina (SP),0.779,0.762,0.702,0.885,Andradina - SP
Bento Gonçalves (RS),0.778,0.805,0.695,0.842,Bento Gonçalves - RS
Tietê (SP),0.778,0.764,0.698,0.884,Tietê - SP
Nova Bréscia (RS),0.778,0.836,0.666,0.847,Nova Bréscia - RS
Itatiba (SP),0.778,0.788,0.708,0.844,Itatiba - SP
Jaboticabal (SP),0.778,0.778,0.71,0.851,Jaboticabal - SP
Braço do Norte (SC),0.778,0.746,0.716,0.881,Braço do Norte - SC
Lajeado (RS),0.778,0.796,0.704,0.84,Lajeado - RS
Ourinhos (SP),0.778,0.753,0.727,0.859,Ourinhos - SP
Varginha (MG),0.778,0.76,0.707,0.875,Varginha - MG
Jaú (SP),0.778,0.768,0.693,0.886,Jaú - SP
Londrina (PR),0.778,0.789,0.712,0.837,Londrina - PR
Juiz de Fora (MG),0.778,0.784,0.711,0.844,Juiz de Fora - MG
Victor Graeff (RS),0.777,0.774,0.722,0.84,Victor Graeff - RS
José Bonifácio (SP),0.777,0.752,0.717,0.869,José Bonifácio - SP
Louveira (SP),0.777,0.783,0.697,0.861,Louveira - SP
Sarandi (RS),0.777,0.776,0.705,0.858,Sarandi - RS
Selbach (RS),0.777,0.785,0.71,0.841,Selbach - RS
Pinheiro Preto (SC),0.777,0.762,0.712,0.866,Pinheiro Preto - SC
Jacareí (SP),0.777,0.749,0.749,0.837,Jacareí - SP
Mafra (SC),0.777,0.738,0.723,0.88,Mafra - SC
Farroupilha (RS),0.777,0.783,0.696,0.861,Farroupilha - RS
Lagoa Santa (MG),0.777,0.79,0.693,0.857,Lagoa Santa - MG
Indaial (SC),0.777,0.767,0.701,0.873,Indaial - SC
Osasco (SP),0.776,0.776,0.718,0.84,Osasco - SP
Jales (SP),0.776,0.75,0.73,0.855,Jales - SP
Bragança Paulista (SP),0.776,0.772,0.704,0.861,Bragança Paulista - SP
Pirapozinho (SP),0.776,0.74,0.733,0.863,Pirapozinho - SP
Passo Fundo (RS),0.776,0.787,0.699,0.849,Passo Fundo - RS
Erechim (RS),0.776,0.782,0.716,0.833,Erechim - RS
Dracena (SP),0.776,0.752,0.737,0.842,Dracena - SP
Itaú de Minas (MG),0.776,0.761,0.711,0.862,Itaú de Minas - MG
Araçoiaba da Serra (SP),0.776,0.751,0.723,0.86,Araçoiaba da Serra - SP
Iracemápolis (SP),0.776,0.742,0.729,0.863,Iracemápolis - SP
Itapiranga (SC),0.775,0.766,0.723,0.842,Itapiranga - SC
Viçosa (MG),0.775,0.758,0.696,0.883,Viçosa - MG
Xanxerê (SC),0.775,0.76,0.711,0.861,Xanxerê - SC
Trombudo Central (SC),0.775,0.76,0.696,0.88,Trombudo Central - SC
Limeira (SP),0.775,0.761,0.719,0.852,Limeira - SP
Ceres (GO),0.775,0.753,0.733,0.842,Ceres - GO
Santa Rita do Passa Quatro (SP),0.775,0.764,0.686,0.887,Santa Rita do Passa Quatro - SP
Pouso Alegre (MG),0.774,0.755,0.704,0.872,Pouso Alegre - MG
Mogi Guaçu (SP),0.774,0.74,0.736,0.852,Mogi Guaçu - SP
Pedrinhas Paulista (SP),0.774,0.749,0.739,0.837,Pedrinhas Paulista - SP
Francisco Beltrão (PR),0.774,0.758,0.726,0.844,Francisco Beltrão - PR
Marau (RS),0.774,0.773,0.699,0.857,Marau - RS
Ouro (SC),0.774,0.774,0.677,0.884,Ouro - SC
São José do Rio Pardo (SP),0.774,0.744,0.717,0.868,São José do Rio Pardo - SP
Siderópolis (SC),0.774,0.751,0.701,0.88,Siderópolis - SC
Massaranduba (SC),0.774,0.749,0.714,0.867,Massaranduba - SC
Cruzália (SP),0.774,0.698,0.778,0.853,Cruzália - SP
Treviso (SC),0.774,0.737,0.714,0.882,Treviso - SC
Marechal Cândido Rondon (PR),0.774,0.782,0.704,0.842,Marechal Cândido Rondon - PR
Santana da Ponte Pensa (SP),0.773,0.751,0.733,0.84,Santana da Ponte Pensa - SP
Pindamonhangaba (SP),0.773,0.745,0.736,0.843,Pindamonhangaba - SP
Santa Cruz do Sul (RS),0.773,0.782,0.693,0.852,Santa Cruz do Sul - RS
Auriflama (SP),0.773,0.746,0.738,0.84,Auriflama - SP
Olímpia (SP),0.773,0.737,0.724,0.867,Olímpia - SP
Serra Alta (SC),0.773,0.758,0.694,0.879,Serra Alta - SC
Matão (SP),0.773,0.766,0.713,0.847,Matão - SP
Rio das Ostras (RJ),0.773,0.784,0.689,0.854,Rio das Ostras - RJ
Veranópolis (RS),0.773,0.797,0.692,0.838,Veranópolis - RS
Itu (SP),0.773,0.782,0.692,0.854,Itu - SP
Araguari (MG),0.773,0.74,0.716,0.871,Araguari - MG
Sebastianópolis do Sul (SP),0.773,0.748,0.74,0.835,Sebastianópolis do Sul - SP
Paraí (RS),0.773,0.787,0.679,0.866,Paraí - RS
Uberaba (MG),0.772,0.772,0.705,0.845,Uberaba - MG
Recife (PE),0.772,0.798,0.698,0.825,Recife - PE
Monções (SP),0.772,0.731,0.773,0.814,Monções - SP
Santo Ângelo (RS),0.772,0.765,0.696,0.863,Santo Ângelo - RS
Sales Oliveira (SP),0.772,0.738,0.739,0.845,Sales Oliveira - SP
Aratiba (RS),0.772,0.801,0.67,0.856,Aratiba - RS
Araxá (MG),0.772,0.756,0.709,0.858,Araxá - MG
Urussanga (SC),0.772,0.756,0.695,0.876,Urussanga - SC
São Sebastião (SP),0.772,0.747,0.703,0.875,São Sebastião - SP
Santa Salete (SP),0.772,0.712,0.748,0.864,Santa Salete - SP
Volta Redonda (RJ),0.771,0.763,0.72,0.833,Volta Redonda - RJ
Itá (SC),0.771,0.747,0.698,0.879,Itá - SC
Poá (SP),0.771,0.71,0.754,0.856,Poá - SP
Maracaí (SP),0.771,0.711,0.758,0.85,Maracaí - SP
Ipatinga (MG),0.771,0.752,0.705,0.864,Ipatinga - MG
Lajeado Grande (SC),0.771,0.75,0.712,0.858,Lajeado Grande - SC
Tupã (SP),0.771,0.764,0.704,0.852,Tupã - SP
Montes Claros (MG),0.77,0.707,0.744,0.868,Montes Claros - MG
Macatuba (SP),0.77,0.763,0.697,0.859,Macatuba - SP
Aracaju (SE),0.77,0.784,0.708,0.823,Aracaju - SE
Lages (SC),0.77,0.755,0.697,0.867,Lages - SC
Santa Rosa de Viterbo (SP),0.77,0.746,0.704,0.868,Santa Rosa de Viterbo - SP
Vargem Grande Paulista (SP),0.77,0.755,0.683,0.884,Vargem Grande Paulista - SP
Ouroeste (SP),0.77,0.717,0.736,0.866,Ouroeste - SP
Oriente (SP),0.77,0.717,0.761,0.837,Oriente - SP
Armazém (SC),0.77,0.743,0.698,0.882,Armazém - SC
Presidente Castello Branco (SC),0.77,0.813,0.637,0.883,Presidente Castello Branco - SC
Timóteo (MG),0.77,0.737,0.742,0.836,Timóteo - MG
Garça (SP),0.769,0.737,0.728,0.849,Garça - SP
Pedreira (SP),0.769,0.75,0.701,0.864,Pedreira - SP
Schroeder (SC),0.769,0.75,0.71,0.855,Schroeder - SC
Santa Rosa (RS),0.769,0.752,0.693,0.871,Santa Rosa - RS
Tupi Paulista (SP),0.769,0.762,0.715,0.835,Tupi Paulista - SP
São Carlos (SC),0.769,0.763,0.688,0.867,São Carlos - SC
Arroio do Meio (RS),0.769,0.75,0.706,0.86,Arroio do Meio - RS
Campo Limpo Paulista (SP),0.769,0.733,0.739,0.84,Campo Limpo Paulista - SP
Taboão da Serra (SP),0.769,0.742,0.71,0.863,Taboão da Serra - SP
Cosmópolis (SP),0.769,0.746,0.697,0.876,Cosmópolis - SP
Barbacena (MG),0.769,0.751,0.687,0.881,Barbacena - MG
Monte Alto (SP),0.768,0.746,0.707,0.859,Monte Alto - SP
São Roque (SP),0.768,0.765,0.687,0.863,São Roque - SP
São Marcos (RS),0.768,0.775,0.683,0.855,São Marcos - RS
São Luís (MA),0.768,0.741,0.752,0.813,São Luís - MA
Regente Feijó (SP),0.768,0.735,0.752,0.818,Regente Feijó - SP
Bilac (SP),0.768,0.743,0.722,0.845,Bilac - SP
Maracajá (SC),0.768,0.752,0.699,0.861,Maracajá - SC
São Vicente (SP),0.768,0.738,0.716,0.857,São Vicente - SP
Toledo (PR),0.768,0.755,0.702,0.855,Toledo - PR
Palotina (PR),0.768,0.76,0.689,0.864,Palotina - PR
Igarapava (SP),0.768,0.809,0.671,0.835,Igarapava - SP
Lucas do Rio Verde (MT),0.768,0.766,0.71,0.833,Lucas do Rio Verde - MT
Três Passos (RS),0.768,0.745,0.71,0.858,Três Passos - RS
Nova Veneza (SC),0.768,0.741,0.703,0.869,Nova Veneza - SC
Resende (RJ),0.768,0.762,0.709,0.839,Resende - RJ
Nova Boa Vista (RS),0.768,0.764,0.708,0.836,Nova Boa Vista - RS
Capivari de Baixo (SC),0.767,0.724,0.716,0.87,Capivari de Baixo - SC
Estrela (RS),0.767,0.776,0.684,0.85,Estrela - RS
Novo Xingu (RS),0.767,0.749,0.708,0.85,Novo Xingu - RS
Votorantim (SP),0.767,0.72,0.747,0.838,Votorantim - SP
Dois Vizinhos (PR),0.767,0.747,0.711,0.85,Dois Vizinhos - PR
Serra Negra (SP),0.767,0.764,0.676,0.873,Serra Negra - SP
Orindiúva (SP),0.767,0.719,0.762,0.824,Orindiúva - SP
Encantado (RS),0.767,0.764,0.687,0.858,Encantado - RS
Avaré (SP),0.767,0.751,0.695,0.866,Avaré - SP
Catalão (GO),0.766,0.769,0.715,0.819,Catalão - GO
Ivatuba (PR),0.766,0.718,0.748,0.837,Ivatuba - PR
Mauá (SP),0.766,0.721,0.733,0.852,Mauá - SP
Pereira Barreto (SP),0.766,0.728,0.732,0.845,Pereira Barreto - SP
Alumínio (SP),0.766,0.729,0.732,0.841,Alumínio - SP
Parnamirim (RN),0.766,0.75,0.726,0.825,Parnamirim - RN
São Simão (SP),0.766,0.732,0.722,0.852,São Simão - SP
Poloni (SP),0.766,0.736,0.717,0.853,Poloni - SP
Peritiba (SC),0.766,0.762,0.669,0.882,Peritiba - SC
Lorena (SP),0.766,0.736,0.713,0.856,Lorena - SP
Capivari do Sul (RS),0.766,0.805,0.668,0.836,Capivari do Sul - RS
Carazinho (RS),0.766,0.756,0.707,0.84,Carazinho - RS
Santiago (RS),0.766,0.746,0.682,0.882,Santiago - RS
Nova Prata (RS),0.766,0.782,0.686,0.839,Nova Prata - RS
Cedral (SP),0.766,0.749,0.689,0.872,Cedral - SP
Patos de Minas (MG),0.765,0.749,0.698,0.855,Patos de Minas - MG
Ituverava (SP),0.765,0.768,0.694,0.841,Ituverava - SP
Guaporé (RS),0.765,0.781,0.685,0.837,Guaporé - RS
Imbituba (SC),0.765,0.734,0.703,0.868,Imbituba - SC
Colinas (RS),0.765,0.786,0.678,0.84,Colinas - RS
Gaspar (SC),0.765,0.77,0.655,0.889,Gaspar - SC
Espumoso (RS),0.765,0.747,0.677,0.884,Espumoso - RS
Não-Me-Toque (RS),0.765,0.784,0.673,0.847,Não-Me-Toque - RS
Suzano (SP),0.765,0.708,0.723,0.873,Suzano - SP
Ibirubá (RS),0.765,0.786,0.671,0.848,Ibirubá - RS
Nova Erechim (SC),0.765,0.767,0.686,0.851,Nova Erechim - SC
Nova Europa (SP),0.765,0.718,0.718,0.869,Nova Europa - SP
São Domingos (SC),0.765,0.769,0.675,0.861,São Domingos - SC
Maricá (RJ),0.765,0.761,0.692,0.85,Maricá - RJ
Atibaia (SP),0.765,0.786,0.67,0.851,Atibaia - SP
Ouro Branco (MG),0.764,0.753,0.68,0.872,Ouro Branco - MG
São Valentim do Sul (RS),0.764,0.776,0.677,0.848,São Valentim do Sul - RS
Divinópolis (MG),0.764,0.753,0.702,0.844,Divinópolis - MG
Santo Antônio do Palma (RS),0.764,0.787,0.665,0.853,Santo Antônio do Palma - RS
Macaé (RJ),0.764,0.792,0.681,0.828,Macaé - RJ
Imbé (RS),0.764,0.825,0.638,0.847,Imbé - RS
Cachoeira Paulista (SP),0.764,0.733,0.728,0.837,Cachoeira Paulista - SP
Arroio Trinta (SC),0.764,0.781,0.653,0.873,Arroio Trinta - SC
Gramado (RS),0.764,0.783,0.662,0.861,Gramado - RS
Cerro Largo (RS),0.764,0.752,0.698,0.849,Cerro Largo - RS
Rosana (SP),0.764,0.749,0.728,0.818,Rosana - SP
Montauri (RS),0.764,0.79,0.662,0.852,Montauri - RS
Videira (SC),0.764,0.772,0.675,0.857,Videira - SC
Rondinha (RS),0.764,0.78,0.678,0.842,Rondinha - RS
Lençóis Paulista (SP),0.764,0.743,0.717,0.837,Lençóis Paulista - SP
Paraíso do Tocantins (TO),0.764,0.759,0.706,0.831,Paraíso do Tocantins - TO
Buritama (SP),0.763,0.736,0.72,0.839,Buritama - SP
Guarulhos (SP),0.763,0.746,0.717,0.831,Guarulhos - SP
Fagundes Varela (RS),0.763,0.773,0.674,0.852,Fagundes Varela - RS
Itapetininga (SP),0.763,0.728,0.705,0.864,Itapetininga - SP
Gabriel Monteiro (SP),0.763,0.721,0.762,0.809,Gabriel Monteiro - SP
Presidente Venceslau (SP),0.763,0.749,0.708,0.837,Presidente Venceslau - SP
São Domingos do Sul (RS),0.763,0.78,0.68,0.839,São Domingos do Sul - RS
Natal (RN),0.763,0.768,0.694,0.835,Natal - RN
Ponta Grossa (PR),0.763,0.755,0.703,0.837,Ponta Grossa - PR
Barra Funda (RS),0.763,0.731,0.71,0.856,Barra Funda - RS
Paranavaí (PR),0.763,0.75,0.703,0.844,Paranavaí - PR
João Pessoa (PB),0.763,0.77,0.693,0.832,João Pessoa - PB
Medianeira (PR),0.763,0.762,0.686,0.849,Medianeira - PR
Guararapes (SP),0.763,0.727,0.726,0.84,Guararapes - SP
São Pedro do Butiá (RS),0.763,0.76,0.694,0.843,São Pedro do Butiá - RS
Santa Cruz do Rio Pardo (SP),0.762,0.744,0.686,0.867,Santa Cruz do Rio Pardo - SP
Itapira (SP),0.762,0.75,0.692,0.852,Itapira - SP
Saldanha Marinho (RS),0.762,0.745,0.706,0.841,Saldanha Marinho - RS
David Canabarro (RS),0.762,0.74,0.688,0.87,David Canabarro - RS
São Francisco do Sul (SC),0.762,0.74,0.699,0.856,São Francisco do Sul - SC
São Joaquim da Barra (SP),0.762,0.74,0.706,0.847,São Joaquim da Barra - SP
Boa Vista do Buricá (RS),0.762,0.761,0.697,0.834,Boa Vista do Buricá - RS
Osvaldo Cruz (SP),0.762,0.74,0.713,0.837,Osvaldo Cruz - SP
Itupeva (SP),0.762,0.75,0.699,0.844,Itupeva - SP
Paraguaçu Paulista (SP),0.762,0.717,0.739,0.836,Paraguaçu Paulista - SP
Serranópolis do Iguaçu (PR),0.762,0.778,0.662,0.859,Serranópolis do Iguaçu - PR
Torres (RS),0.762,0.75,0.685,0.862,Torres - RS
Mococa (SP),0.762,0.756,0.709,0.827,Mococa - SP
Sumaré (SP),0.762,0.744,0.705,0.845,Sumaré - SP
Mirassol (SP),0.762,0.748,0.698,0.846,Mirassol - SP
Vila Maria (RS),0.761,0.791,0.664,0.839,Vila Maria - RS
Itapoá (SC),0.761,0.739,0.682,0.874,Itapoá - SC
Iguaba Grande (RJ),0.761,0.744,0.704,0.841,Iguaba Grande - RJ
São João do Oeste (SC),0.761,0.756,0.668,0.873,São João do Oeste - SC
Batatais (SP),0.761,0.766,0.685,0.84,Batatais - SP
Alfenas (MG),0.761,0.737,0.712,0.841,Alfenas - MG
Entre Rios do Oeste (PR),0.761,0.778,0.686,0.826,Entre Rios do Oeste - PR
