cod_municipio,municipio,uf,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,cluster,cluster_nome
3525607,João Ramalho - SP,SP,1543,90.01944264419961,88.2047958522359,96.30589760207388,90.98,1261.53,88.40082361015786,0.741,0.701,0.71,0.818,1,Desenvolvido
3525706,José Bonifácio - SP,SP,13333,92.40231005775144,93.5798394959874,96.14490362259056,95.96,1697.31,92.78519367783149,0.777,0.752,0.717,0.869,1,Desenvolvido
3525805,Júlio Mesquita - SP,SP,1562,97.63124199743918,99.8719590268886,98.52752880921896,93.8,1240.61,93.51198871650212,0.716,0.659,0.686,0.813,1,Desenvolvido
3525854,Jumirim - SP,SP,1002,79.04191616766467,56.986027944111775,96.8063872255489,96.27,1366.75,65.70680628272252,0.741,0.721,0.655,0.863,1,Desenvolvido
3525904,Jundiaí - SP,SP,163219,95.87548018306693,95.02447631709543,99.89094406901158,97.98,2774.36,96.862513283441,0.822,0.834,0.768,0.866,1,Desenvolvido
3526001,Junqueirópolis - SP,SP,7151,92.9380506222906,92.63040134246958,94.82589847573766,95.28,1638.65,92.71322378716744,0.745,0.727,0.662,0.86,1,Desenvolvido
3526100,Juquiá - SP,SP,6343,69.66734983446318,61.548163329654734,88.08134951915497,93.08,1160.51,66.97563250553806,0.7,0.654,0.637,0.823,4,Em Transição
3526209,Juquitiba - SP,SP,10005,59.45027486256872,33.183408295852075,93.8030984507746,92.18,1076.35,57.26536272077068,0.709,0.68,0.662,0.791,4,Em Transição
3526308,Lagoinha - SP,SP,2079,60.55796055796056,57.91245791245792,96.63299663299664,93.87,1368.11,62.40409207161125,0.693,0.686,0.609,0.797,4,Em Transição
3526407,Laranjal Paulista - SP,SP,9287,88.9846021320125,87.5417249919242,98.46021320124906,96.6,1556.49,88.55717604051635,0.729,0.732,0.639,0.829,1,Desenvolvido
3526506,Lavínia - SP,SP,1837,84.9755035383778,85.79205225911812,94.82852476864451,96.52,1527.78,43.12106512539994,0.721,0.698,0.655,0.82,1,Desenvolvido
3526605,Lavrinhas - SP,SP,2392,94.14715719063544,80.14214046822742,97.53344481605352,95.69,1164.45,92.66490029284618,0.729,0.665,0.707,0.823,1,Desenvolvido
3526704,Leme - SP,SP,35758,97.60053694278204,98.28010515129482,98.9680630907769,95.38,1577.91,98.2447204083088,0.744,0.729,0.665,0.851,1,Desenvolvido
3526803,Lençóis Paulista - SP,SP,22822,97.17377968626764,96.5340460958724,99.53553588642538,96.56,1795.57,97.51296894970302,0.764,0.743,0.717,0.837,1,Desenvolvido
3526902,Limeira - SP,SP,104444,96.21136685688025,96.53019800084256,99.44180613534526,97.2,1932.42,96.97878157666624,0.775,0.761,0.719,0.852,1,Desenvolvido
3527009,Lindóia - SP,SP,2591,89.57931300656118,82.86375916634505,99.22809725974528,96.52,1690.27,85.97091531223268,0.742,0.722,0.654,0.864,1,Desenvolvido
3527108,Lins - SP,SP,28432,98.15700619020822,98.24493528418682,99.2121553179516,97.01,1864.07,98.82721084796536,0.786,0.762,0.733,0.869,1,Desenvolvido
3527207,Lorena - SP,SP,30025,96.19650291423814,96.1398834304746,98.85428809325562,97.24,1673.5,97.26003181898533,0.766,0.736,0.713,0.856,1,Desenvolvido
3527256,Lourdes - SP,SP,772,86.52849740932642,86.39896373056995,98.18652849740933,89.82,1400.55,86.25641025641025,0.742,0.697,0.717,0.816,1,Desenvolvido
3527306,Louveira - SP,SP,17902,90.69377723159424,87.91196514355939,99.73745950173164,96.53,2025.97,95.81267961502112,0.777,0.783,0.697,0.861,1,Desenvolvido
3527405,Lucélia - SP,SP,6603,95.51718915644403,95.2900196880206,97.98576404664546,95.01,1571.18,83.01679876377051,0.752,0.728,0.695,0.841,1,Desenvolvido
3527504,Lucianópolis - SP,SP,890,81.34831460674158,78.42696629213484,96.29213483146069,93.24,1464.02,81.070826306914,0.733,0.736,0.662,0.809,1,Desenvolvido
3527603,Luís Antônio - SP,SP,4169,97.4814104101703,97.40945070760374,98.92060446150155,95.66,1381.42,98.00244598450875,0.731,0.709,0.671,0.822,1,Desenvolvido
3527702,Luiziânia - SP,SP,1729,92.36552920763448,92.53903990746096,95.72006940427993,92.51,1314.88,91.12954690491384,0.702,0.682,0.623,0.815,1,Desenvolvido
3527801,Lupércio - SP,SP,1472,90.8288043478261,91.03260869565216,97.41847826086956,91.68,1073.89,90.47977895001256,0.724,0.679,0.674,0.83,1,Desenvolvido
3527900,Lutécia - SP,SP,1036,81.17760617760618,80.6949806949807,89.67181467181467,93.78,1451.06,79.33107854190155,0.72,0.67,0.659,0.846,1,Desenvolvido
3528007,Macatuba - SP,SP,5654,96.00282985496992,98.0544747081712,99.3809692253272,94.94,1555.42,97.07053300849724,0.77,0.763,0.697,0.859,1,Desenvolvido
3528106,Macaubal - SP,SP,3008,89.99335106382979,89.72739361702128,93.68351063829788,94.62,1516.91,89.48001604063627,0.743,0.72,0.676,0.844,1,Desenvolvido
3528205,Macedônia - SP,SP,1513,73.49636483807006,74.95042961004627,88.16920026437542,93.59,1428.56,73.7824880141307,0.74,0.705,0.675,0.852,1,Desenvolvido
3528304,Magda - SP,SP,1257,85.04375497215592,84.96420047732697,93.87430389817024,94.16,1547.56,83.6650868878357,0.753,0.724,0.717,0.823,1,Desenvolvido
3528403,Mairinque - SP,SP,17025,83.54185022026431,69.15124816446402,98.3612334801762,96.15,1607.36,92.93981250124934,0.743,0.721,0.684,0.831,1,Desenvolvido
3528502,Mairiporã - SP,SP,33058,62.99534152096315,35.259241333414,97.8462096920564,95.82,1825.67,90.18678145610689,0.788,0.767,0.723,0.881,1,Desenvolvido
3528601,Manduri - SP,SP,3689,87.85578747628084,88.69612361073462,94.93087557603688,95.21,1661.83,87.45821092087934,0.739,0.73,0.675,0.818,1,Desenvolvido
3528700,Marabá Paulista - SP,SP,1383,59.65292841648589,51.9884309472162,54.15762834417932,93.58,1197.87,37.72140826590859,0.677,0.65,0.591,0.809,3,Rural de Média Renda
3528809,Maracaí - SP,SP,4828,88.64954432477217,88.60811930405966,94.3661971830986,94.84,1465.29,91.16231358005209,0.771,0.711,0.758,0.85,1,Desenvolvido
3528858,Marapoama - SP,SP,1238,89.66074313408724,89.90306946688207,94.18416801292408,94.9,1526.46,89.09477521263669,0.752,0.736,0.679,0.852,1,Desenvolvido
3528908,Mariápolis - SP,SP,1382,88.205499276411,86.75832127351664,97.9015918958032,94.75,1361.35,86.1087389695417,0.718,0.684,0.651,0.83,1,Desenvolvido
3529005,Marília - SP,SP,88399,97.6481634407629,97.54974603785112,99.3925270647858,97.37,2024.26,98.85156148080816,0.798,0.768,0.776,0.854,1,Desenvolvido
3529104,Marinópolis - SP,SP,717,81.45048814504882,81.45048814504882,93.02649930264994,89.71,1441.96,80.64516129032258,0.731,0.681,0.694,0.825,1,Desenvolvido
3529203,Martinópolis - SP,SP,8845,89.84737139626908,88.00452232899943,94.09836065573772,94.09,1439.59,85.65572123306941,0.721,0.703,0.641,0.832,1,Desenvolvido
3529302,Matão - SP,SP,28821,98.06391173102946,99.08747094132752,99.7814093889872,96.26,1700.46,98.17671099414169,0.773,0.766,0.713,0.847,1,Desenvolvido
3529401,Mauá - SP,SP,152619,98.8651478518402,93.24461567694718,99.42602166178524,96.74,1478.74,99.69158013776088,0.766,0.721,0.733,0.852,1,Desenvolvido
3529500,Mendonça - SP,SP,2315,87.77537796976242,93.82289416846652,96.80345572354211,94.81,1756.32,88.8618282188667,0.744,0.72,0.663,0.863,1,Desenvolvido
3529609,Meridiano - SP,SP,1726,81.6917728852839,81.17033603707995,94.49594438006952,94.34,1579.55,81.12423447069116,0.731,0.717,0.667,0.817,1,Desenvolvido
3529658,Mesópolis - SP,SP,743,83.17631224764467,83.71467025572005,87.75235531628532,88.97,1278.93,82.99180327868852,0.724,0.674,0.666,0.847,1,Desenvolvido
3529708,Miguelópolis - SP,SP,7138,87.15326421966938,94.00392266741385,96.32950406276268,92.55,1416.73,95.28830821459802,0.741,0.712,0.661,0.863,1,Desenvolvido
3529807,Mineiros do Tietê - SP,SP,4138,95.8192363460609,95.14258095698403,98.6950217496375,94.11,1304.7,96.12644701691896,0.73,0.719,0.658,0.823,1,Desenvolvido
3529906,Miracatu - SP,SP,6846,62.22611744084136,58.07770961145194,86.95588664913818,92.09,1125.4,64.63644693580552,0.697,0.645,0.655,0.803,4,Em Transição
3530003,Mira Estrela - SP,SP,1243,74.73853580048271,76.66934835076428,91.7135961383749,94.57,1291.65,80.32629558541267,0.743,0.697,0.731,0.806,1,Desenvolvido
3530102,Mirandópolis - SP,SP,9108,85.67193675889328,82.74044795783925,94.20289855072464,95.27,1683.93,88.93613979916378,0.751,0.732,0.665,0.869,1,Desenvolvido
3530201,Mirante do Paranapanema - SP,SP,6122,63.62299901992813,58.13459653707939,65.56680823260372,91.74,1182.36,60.055286800276434,0.724,0.67,0.674,0.841,3,Rural de Média Renda
3530300,Mirassol - SP,SP,23213,96.4158014905441,96.21332873820704,99.12118209623918,97.18,2049.55,97.43278020746168,0.762,0.748,0.698,0.846,1,Desenvolvido
3530409,Mirassolândia - SP,SP,1721,87.10052295177223,68.68099941894248,90.6449738524114,95.3,1322.05,86.42107517669737,0.738,0.704,0.69,0.829,1,Desenvolvido
