cod_municipio,municipio,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano
3163102,São José da Varginha - MG,1739,66.87751581368603,56.06670500287522,93.9620471535365,93.68,1189.68,73.01587301587301
3163201,São José do Alegre - MG,1510,81.65562913907284,74.10596026490066,94.63576158940398,95.72,910.86,73.62690539559642
3163300,São José do Divino - MG,1296,73.14814814814815,74.30555555555556,75.30864197530865,84.14,1016.23,75.98152424942263
3163409,São José do Goiabal - MG,1982,70.93844601412714,71.3925327951564,85.16649848637739,90.42,1115.9,77.353595255745
3163508,São José do Jacuri - MG,2211,40.027137042062414,38.670284938941656,43.14789687924016,85.52,819.84,35.3235436501533
3163607,São José do Mantimento - MG,1001,67.93206793206792,62.83716283716284,77.12287712287711,89.91,1087.61,59.86196876135126
3163706,São Lourenço - MG,17098,98.57878114399345,96.67212539478301,99.70171949935664,97.36,1781.22,98.7633376490022
3163805,São Miguel do Anta - MG,2276,56.67838312829525,50.21968365553603,87.34622144112478,88.93,1126.44,56.362488159141144
3163904,São Pedro da União - MG,1908,68.9727463312369,66.77148846960168,90.51362683438155,93.29,1414.88,64.60593654042988
3164001,São Pedro dos Ferros - MG,2635,85.69259962049335,81.78368121442125,89.90512333965845,90.09,1096.96,86.1010326542004
3164100,São Pedro do Suaçuí - MG,1849,56.300703082747425,37.85830178474851,60.89778258518118,86.21,993.57,53.987850284146575
3164209,São Romão - MG,2956,73.10554803788904,48.68064952638701,70.29769959404601,89.86,726.62,72.07949587978672
3164308,São Roque de Minas - MG,2730,70.8058608058608,65.6043956043956,77.36263736263737,94.25,2002.71,66.58717912750737
3164407,São Sebastião da Bela Vista - MG,2229,58.815612382234185,62.673844773441004,97.26334679228353,91.07,1300.15,74.91780178487552
3164431,São Sebastião da Vargem Alegre - MG,1177,62.616822429906534,61.93712829226848,72.982158028887,92.2,1261.02,62.67266302601991
3164472,São Sebastião do Anta - MG,2274,45.99824098504837,67.06244503078275,89.05013192612137,85.53,921.38,75.36325476267356
3164506,São Sebastião do Maranhão - MG,3347,46.75829100687183,33.88108754108157,39.49805796235435,82.32,756.62,37.4144260343288
3164605,São Sebastião do Oeste - MG,3095,72.24555735056542,66.00969305331179,91.1470113085622,93.18,1321.95,74.04424276800907
3164704,São Sebastião do Paraíso - MG,26679,93.23437909966641,93.52674388095505,97.80726414033509,95.33,1629.1,92.89654019722548
3164803,São Sebastião do Rio Preto - MG,474,57.59493670886076,4.852320675105485,65.40084388185655,91.67,1044.03,64.41620333598094
3164902,São Sebastião do Rio Verde - MG,881,95.45970488081726,94.8921679909194,76.27695800227015,95.74,1208.85,69.91304347826087
3165008,São Tiago - MG,4128,82.31589147286822,73.20736434108527,91.61821705426357,94.75,1406.52,82.44281629735526
3165107,São Tomás de Aquino - MG,2444,80.81014729950901,76.02291325695582,93.73977086743044,92.5,1243.41,80.19287833827893
3165206,São Tomé das Letras - MG,2790,58.67383512544803,57.02508960573477,82.1146953405018,91.87,1341.66,57.995365005793744
3165305,São Vicente de Minas - MG,2502,89.76818545163869,87.29016786570743,91.08713029576339,94.7,1395.09,88.60964138741917
3165404,Sapucaí-Mirim - MG,2323,65.9061558329746,62.37623762376238,99.22513990529488,92.95,1269.56,67.84978608778324
3165503,Sardoá - MG,1861,65.23374529822676,45.88930682428802,56.09887157442235,85.68,845.55,44.024294670846395
3165537,Sarzedo - MG,12670,97.19810576164167,93.78847671665352,99.6527229676401,96.78,1461.78,99.00390837042666
3165552,Setubinha - MG,2971,42.40996297542915,27.09525412319084,37.15920565466173,77.13,825.56,34.88958354341031
3165560,Sem-Peixe - MG,962,52.5987525987526,48.44074844074844,64.76091476091476,87.74,1066.41,59.80271270036991
3165578,Senador Amaral - MG,2091,63.60593017694883,62.505978000956475,94.16547106647538,92.47,1195.38,63.37415404447309
3165602,Senador Cortes - MG,801,70.78651685393258,78.02746566791511,92.50936329588015,90.33,1126.28,82.45535714285714
3165701,Senador Firmino - MG,2914,73.50720658888126,55.456417295813324,87.37131091283459,93.08,1233.96,79.98963193364438
3165800,Senador José Bento - MG,792,44.94949494949495,39.8989898989899,94.82323232323232,93.9,1282.2,35.05802707930368
3165909,Senador Modestino Gonçalves - MG,1501,48.23451032644903,41.57228514323784,49.900066622251835,83.47,935.44,47.92914171656687
3166006,Senhora de Oliveira - MG,2018,74.03369672943508,68.78097125867195,94.9950445986125,90.94,885.56,66.93416013131497
3166105,Senhora do Porto - MG,1114,58.707360861759426,46.14003590664273,59.06642728904848,84.07,961.01,52.23345288555592
3166204,Senhora dos Remédios - MG,3720,79.08602150537635,52.84946236559139,74.46236559139786,91.9,990.54,51.78158705701078
3166303,Sericita - MG,2577,54.0162980209546,50.87310826542492,71.86651144741948,86.58,996.25,55.03063308373043
3166402,Seritinga - MG,693,86.002886002886,84.12698412698413,91.77489177489177,94.65,1450.73,85.98130841121495
3166501,Serra Azul de Minas - MG,1251,65.94724220623502,66.74660271782574,53.956834532374096,77.69,738.71,52.05696202531646
3166600,Serra da Saudade - MG,337,66.76557863501483,66.17210682492582,76.8545994065282,91.04,1411.95,65.06602641056422
3166709,Serra dos Aimorés - MG,2675,89.75700934579439,62.87850467289719,91.43925233644859,85.09,1016.56,84.96543778801843
3166808,Serra do Salitre - MG,4018,76.90393230462917,78.34743653558985,90.21901443504231,94.45,1573.89,77.76459622065927
3166907,Serrania - MG,2743,92.34414874225301,90.59423988333941,94.4586219467736,91.12,1155.32,90.57866421729432
3166956,Serranópolis de Minas - MG,1526,68.08650065530799,0.1310615989515072,53.40760157273918,82.29,811.29,45.533075699022504
3167004,Serranos - MG,753,81.40770252324037,73.83798140770253,93.09428950863213,88.52,1182.63,80.15075376884423
3167103,Serro - MG,7317,66.13366133661337,48.62648626486265,70.63003963372967,87.54,923.2,65.0783527696793
3167202,Sete Lagoas - MG,81943,97.5666011739868,94.65115995265,98.89679411298098,97.0,1668.6,96.71763479729285
3167301,Silveirânia - MG,898,72.16035634743875,67.59465478841871,81.73719376391982,89.64,1213.4,71.50236762806715
3167400,Silvianópolis - MG,2438,61.771944216570965,59.14684167350287,76.98933552091879,89.22,1597.35,61.90322058585531
3167509,Simão Pereira - MG,1073,74.27772600186393,67.47437092264678,91.7986952469711,94.35,1350.4,61.995249406175766
3167608,Simonésia - MG,7016,49.50114025085519,46.12314709236032,77.90763968072976,88.34,1037.28,48.278481012658226
3167707,Sobrália - MG,2010,69.9502487562189,66.71641791044776,78.40796019900498,85.31,1139.19,72.57153980922718
3167806,Soledade de Minas - MG,2121,70.01414427157002,63.366336633663366,94.2951438000943,94.25,1255.32,66.82700872973454
3167905,Tabuleiro - MG,1554,72.26512226512226,73.68082368082368,88.61003861003861,88.78,1166.15,73.09417040358744
3168002,Taiobeiras - MG,11732,78.18786225707467,60.44152744630071,93.8288441868394,86.29,1079.79,86.92889561270802
3168051,Taparuba - MG,1314,72.6027397260274,70.70015220700152,85.69254185692542,85.67,949.47,72.74874520224387
3168101,Tapira - MG,1435,59.372822299651574,61.46341463414634,82.64808362369338,94.8,1554.17,63.161728994657594
3168200,Tapiraí - MG,657,59.665144596651444,57.3820395738204,76.56012176560122,90.74,1331.31,58.46153846153847
3168309,Taquaraçu de Minas - MG,1593,59.57313245448839,30.32015065913371,69.80539861895794,90.37,1209.1,51.65719696969697
3168408,Tarumirim - MG,5230,65.90822179732314,63.93881453154876,78.81453154875717,87.98,993.4,67.78163029437759
3168507,Teixeiras - MG,4736,66.74408783783784,56.50337837837838,81.03885135135135,90.89,1233.73,71.72582619339045
3168606,Teófilo Otoni - MG,49858,84.52204260098681,78.83789963496329,88.00794255686148,90.95,1338.49,85.11475934739263
3168705,Timóteo - MG,30026,91.46406447745288,94.53140611470059,99.3638846333178,96.88,1630.44,99.83941945843907
3168804,Tiradentes - MG,2866,84.5778087927425,72.8890439637125,98.08094905792044,95.65,1872.35,80.52685950413223
3168903,Tiros - MG,3107,77.85645317026069,75.73221757322176,84.29353073704539,94.56,1633.94,76.22732462260561
3169000,Tocantins - MG,6154,82.35294117647058,83.21416964575886,88.08904777380565,93.9,1244.19,84.88106271238802
3169059,Tocos do Moji - MG,1470,55.714285714285715,23.877551020408163,96.87074829931973,91.25,1301.34,54.05122843700993
3169109,Toledo - MG,2599,55.444401692958834,54.55944594074644,95.49826856483263,90.98,1257.12,57.31910174660383
3169208,Tombos - MG,3297,86.04792235365484,75.9478313618441,94.26751592356688,92.39,1491.51,85.57323730979208
